url,STRING : esrb,STRING : publisher,STRING : genre,STRING : developer
videogame/ps2.gamespy.com/hackgu.html,Teen,Bandai,RPG,CyberConnect2
videogame/ps2.gamespy.com/hackgu-part-3.html,Teen,Bandai,RPG,CyberConnect2
videogame/ps2.gamespy.com/24.html,Mature,2K Games / Sony Computer Entertainment,Action,SCE Studios Cambridge
videogame/ps2.gamespy.com/50-cent-bulletproof.html,Mature,Vivendi Games,Action,Genuine Games
videogame/ps2.gamespy.com/atv-offroad-fury-3.html,Everyone,Sony Computer Entertainment,Racing,Climax Studios
videogame/ps2.gamespy.com/atv-offroad-fury-4.html,Everyone,Sony Computer Entertainment / SCEA,Racing,Climax Studios
videogame/ps2.gamespy.com/atv-quad-power-racing-2.html,Everyone,Acclaim Entertainment,Racing,Climax Studios
videogame/ps2.gamespy.com/ace-combat-5-the-unsung-war.html,Teen,Namco,"Flight, Action",Project Aces
videogame/ps2.gamespy.com/ace-combat-zero-the-belkan-war.html,Rating Pending,Namco,"Flight, Action",Project Aces
videogame/ps2.gamespy.com/alias.html,Teen,Acclaim Entertainment,Action,Acclaim Studios Cheltenham
videogame/ps2.gamespy.com/alien-hominid.html,Teen,O~3 Entertainment,Shooter,The Behemoth
videogame/ps2.gamespy.com/ape-escape-3.html,Everyone 10+,Sony Computer Entertainment,"Action, Adventure",SCE Studios Japan
videogame/ps2.gamespy.com/arcana-hearts.html,Teen,Atlus,Fighting,EXAMU
videogame/ps2.gamespy.com/area-51.html,Mature,Midway Games,Shooter,Midway Studios - Austin
videogame/ps2.gamespy.com/afl-2006.html,Everyone 10+,Electronic Arts,Sports,Tiburon
videogame/ps2.gamespy.com/armored-core-nexus.html,Teen,FromSoftware,"Action, Simulation",FromSoftware
videogame/ps2.gamespy.com/iris-no-atelier-eternal-mana.html,Teen,NIS,RPG,Gust
videogame/ps2.gamespy.com/athens-2004-.html,Everyone,Sony Computer Entertainment,Sports,Eurocom
videogame/ps2.gamespy.com/b-boy.html,Teen,SouthPeak Interactive,Music,FreeStyleGames
videogame/ps2.gamespy.com/barnyard.html,Everyone 10+,THQ,Adventure,Blue Tongue
videogame/ps2.gamespy.com/gundam-battle-assault-3.html,Teen,Bandai,Fighting,Bandai
videogame/ps2.gamespy.com/battlefield-modern-combat.html,Teen,Electronic Arts,Shooter,Digital Illusions CE (DICE)
videogame/ps2.gamespy.com/ben-10-protector-of-earth.html,Rating Pending,D3 Publisher,Action,High Voltage Software
videogame/ps2.gamespy.com/blitz-playmakers.html,Mature,Midway Games,"Sports, Action",Midway Games
videogame/ps2.gamespy.com/bloodrayne.html,Mature,Majesco,Action,Terminal Reality
videogame/ps2.gamespy.com/brave-the-search-for-spirit-dancer.html,Everyone 10+,Evolved Games,"Action, Adventure",Vis Entertainment
videogame/ps2.gamespy.com/brothers-in-arms-2.html,Mature,Ubisoft,Shooter,Gearbox Software
videogame/ps2.gamespy.com/brothers-in-arms.html,Mature,Ubisoft,Shooter,Gearbox Software
videogame/ps2.gamespy.com/bujingai-the-forsaken-city.html,Teen,BAM! Entertainment,Action,Red Entertainment
videogame/ps2.gamespy.com/bully.html,Teen,Rockstar Games,Action,Rockstar Vancouver
videogame/ps2.gamespy.com/burnout-3.html,Teen,Electronic Arts,Racing,Criterion Games
videogame/ps2.gamespy.com/burnout-dominator.html,Everyone 10+,Electronic Arts,Racing,EA UK
videogame/ps2.gamespy.com/burnout-4.html,Everyone 10+,Electronic Arts,Racing,Criterion Games
videogame/ps2.gamespy.com/cabelas-big-game-hunter.html,Teen,Activision,Hunting,Sand Grain Studios
videogame/ps2.gamespy.com/call-of-duty-2.html,Teen,Activision,Shooter,Treyarch
videogame/ps2.gamespy.com/call-of-duty-finest-hour.html,Teen,Activision,Shooter,Spark Unlimited
videogame/ps2.gamespy.com/castlevania-curse-of-darkness.html,Mature,Konami,"Action, Adventure",Konami TYO
videogame/ps2.gamespy.com/crash-bandicoot-the-wrath-of-cortex.html,Everyone,Universal Interactive / Konami,Platformer,Traveller's Tales
videogame/ps2.gamespy.com/crash-nitro-kart.html,Everyone,Vivendi Games,"Racing, Action",Vicarious Visions
videogame/ps2.gamespy.com/crash-tag-team-racing.html,Everyone 10+,Vivendi Games,"Racing, Action",Radical Entertainment
videogame/ps2.gamespy.com/crazy-frog-racer.html,Everyone,N/A,Racing,Neko Entertainment
videogame/ps2.gamespy.com/driv3r.html,Mature,Atari,"Racing, Action",Reflections Interactive
videogame/ps2.gamespy.com/dt-racer.html,Everyone,XS Games,Racing,Axis Entertainment
videogame/ps2.gamespy.com/seiken-densetsu-project.html,Teen,Square Enix,"Action, RPG",Square Enix
videogame/ps2.gamespy.com/def-jam-vendetta-2.html,Mature,Electronic Arts,Wrestling,Aki Corporation
videogame/ps2.gamespy.com/destroy-all-humans-2.html,Teen,THQ,Action,Pandemic Studios
videogame/ps2.gamespy.com/devil-may-cry-2.html,Mature,Capcom,Action,Capcom Production Studio 1
videogame/ps2.gamespy.com/devil-may-cry-3.html,Mature,Capcom,Action,Capcom Production Studio 1
videogame/ps2.gamespy.com/digimon-rumble-arena-2.html,Teen,Bandai,"Fighting, Action",Bandai
videogame/ps2.gamespy.com/final-fantasy-vii-2006.html,Teen,Square Enix,Action,Square Enix
videogame/ps2.gamespy.com/disgaea-2.html,Teen,NIS,"Strategy, RPG",NIS
videogame/ps2.gamespy.com/dragon-ball-z-sparking.html,Teen,Atari,Fighting,Spike
videogame/ps2.gamespy.com/dragon-ball-z-tenkaichi-neo.html,Teen,Atari / Namco Bandai,Fighting,Spike
videogame/ps2.gamespy.com/dragon-ball-z-budokai-3.html,Teen,Atari,Fighting,Dimps
videogame/ps2.gamespy.com/dragon-ball-z-budokai-tenkaichi-3-.html,Teen,Atari,Fighting,Spike
videogame/ps2.gamespy.com/dragon-warrior-viii.html,Teen,Square Enix,RPG,Level-5
videogame/ps2.gamespy.com/driver-4-working-title.html,Mature,Atari,Action,Reflections Interactive
videogame/ps2.gamespy.com/duel-masters.html,Everyone,Atari,"Card, Battle",High Voltage Software
videogame/ps2.gamespy.com/dynasty-warriors-4.html,Teen,KOEI,Action,Omega Force
videogame/ps2.gamespy.com/dynasty-warriors-5.html,Teen,KOEI,Action,Omega Force
videogame/ps2.gamespy.com/espn-nba-2005.html,Everyone,SEGA / Global Star,Sports,Visual Concepts
videogame/ps2.gamespy.com/espn-nba-basketball.html,Everyone,SEGA / ESPN Videogames,Sports,Visual Concepts
videogame/ps2.gamespy.com/endgame.html,Teen,Empire Interactive,Shooter,Cunning Developments
videogame/ps2.gamespy.com/eragon.html,Teen,Vivendi Games,Adventure,Stormfront Studios
videogame/ps2.gamespy.com/fifa-soccer-07.html,Everyone,Electronic Arts,Sports,EA Canada
videogame/ps2.gamespy.com/fifa-soccer-2004.html,Everyone,Electronic Arts,Sports,EA Canada
videogame/ps2.gamespy.com/fifa-soccer-2005.html,Everyone,Electronic Arts,Sports,EA Canada
videogame/ps2.gamespy.com/family-guy.html,Mature,2K Games,"Action, Adventure",High Voltage Software
videogame/ps2.gamespy.com/fantastic-four.html,Teen,Activision,"Action, Adventure",7 Studios
videogame/ps2.gamespy.com/fatal-frame-3.html,Mature,Tecmo,Adventure,Tecmo
videogame/ps2.gamespy.com/ea-sports-fight-night-2004.html,Teen,Electronic Arts,Sports,EA Canada
videogame/ps2.gamespy.com/ea-sports-fight-night-round-3.html,Teen,Electronic Arts,Sports,EA Chicago
videogame/ps2.gamespy.com/final-fantasy-x.html,Teen,Square Electronic Arts (US),RPG,Square
videogame/ps2.gamespy.com/final-fantasy-xii.html,Teen,Square Enix,RPG,Square Enix
videogame/ps2.gamespy.com/final-fight-streetwise.html,Mature,Capcom,"Fighting, Action",Capcom
videogame/ps2.gamespy.com/flatout.html,Teen,Empire Interactive,"Racing, Action",Bugbear Entertainment
videogame/ps2.gamespy.com/flatout-2.html,Teen,Vivendi Games / Empire Interactive,Racing,Bugbear Entertainment
videogame/ps2.gamespy.com/ford-street-racing.html,Everyone,Empire Interactive / Eidos Interactive,Racing,Razorworks
videogame/ps2.gamespy.com/ford-racing-3.html,Everyone,Empire Interactive / 2K Games,Racing,Razorworks
videogame/ps2.gamespy.com/front-mission-4.html,Teen,Square Enix,Strategy,Square Enix
videogame/ps2.gamespy.com/gallop-racer-lucky-7.html,Everyone,Tecmo,Simulation,Tecmo
videogame/ps2.gamespy.com/gallop-racer-8.html,Everyone,Tecmo,"Racing, Simulation",Tecmo
videogame/ps2.gamespy.com/hackinfection-part-1.html,Teen,Bandai,"Action, RPG",CyberConnect2
videogame/ps2.gamespy.com/notorious-die-to-drive.html,Mature,Ubisoft,"Racing, Action",Ubisoft Paris (France)
videogame/ps2.gamespy.com/7-sins.html,TBA,Atari,Simulation,Monte Cristo
videogame/ps2.gamespy.com/ace-combat-4-shattered-skies.html,Everyone,Namco,"Flight, Action",Namco
videogame/ps2.gamespy.com/alter-echo.html,TBA,THQ,Sampler,Outrage
videogame/ps2.gamespy.com/aqua-teen-hunger-force-zombie-ninja-pro-am.html,Mature,Midway Games,"Racing, Action",Creat Studio
videogame/ps2.gamespy.com/ar-tonelico.html,Teen,NIS / Banpresto,RPG,Gust
videogame/ps2.gamespy.com/armored-core-last-raven.html,Teen,FromSoftware,"Action, Simulation",FromSoftware
videogame/ps2.gamespy.com/astro-boy.html,Everyone,SEGA,Action,Sonic Team
videogame/ps2.gamespy.com/auto-modellista.html,Everyone,Capcom,Racing,Capcom Production Studio 1
videogame/ps2.gamespy.com/baroque.html,Teen,Atlus,RPG,Sting
videogame/ps2.gamespy.com/beatmania.html,Everyone 10+,Konami,Music,Konami
videogame/ps2.gamespy.com/buzz-the-mega-quiz.html,Everyone 10+,Sony Computer Entertainment,Trivia,Relentless Software
videogame/ps2.gamespy.com/buzz-the-hollywood-quiz.html,Teen,Sony Computer Entertainment,Trivia,SCEE
videogame/ps2.gamespy.com/castlevania-lament-of-innocence.html,Mature,Konami,"Action, Adventure",Konami TYO
videogame/ps2.gamespy.com/chaos-wars.html,Teen,O~3 Entertainment,Strategy,Idea Factory
videogame/ps2.gamespy.com/conflict-desert-storm.html,Teen,Gotham Games,Action,SCi Entertainment Group
videogame/ps2.gamespy.com/crazy-taxi.html,Teen,Acclaim Entertainment,"Racing, Action",Acclaim Studios Cheltenham
videogame/ps2.gamespy.com/curious-george.html,Everyone,Namco,Platformer,Monkey Bar Games
videogame/ps2.gamespy.com/dead-to-rights.html,Mature,Namco,Action,Namco
videogame/ps2.gamespy.com/def-jam-vendetta.html,Teen,Electronic Arts,Wrestling,Aki Corporation
videogame/ps2.gamespy.com/devil-kings.html,Teen,Capcom,Action,Capcom Production Studio 4
videogame/ps2.gamespy.com/digimon-survivors-another-mission.html,Everyone 10+,Namco Bandai,RPG,BEC
videogame/ps2.gamespy.com/dino-stalker.html,Mature,Capcom,Shooter,Capcom Production Studio 3
videogame/ps2.gamespy.com/enthusia-professional-racing.html,Everyone,Konami,Racing,Konami Studios
videogame/ps2.gamespy.com/everblue-2.html,Everyone,Capcom,Adventure,Arika
videogame/ps2.gamespy.com/evil-dead-regeneration.html,Mature,THQ,Action,Cranky Pants Games
videogame/ps2.gamespy.com/f1-2002.html,Everyone,Electronic Arts,"Racing, Simulation",Visual Sciences
videogame/ps2.gamespy.com/fatal-fury-battle-archives-volume-1.html,Teen,SNK Playmore,"Fighting, Compilation",SNK Playmore
videogame/ps2.gamespy.com/fatal-fury-archives-2.html,Teen,SNK Playmore,Fighting,SNK Playmore
videogame/ps2.gamespy.com/ford-vs-chevy.html,Everyone,2K Games,Racing,Eutechnyx
videogame/ps2.gamespy.com/george-of-the-jungle.html,Everyone,Crave Entertainment,Action,
videogame/ps2.gamespy.com/gran-turismo-4-prologue.html,TBA,Sony Computer Entertainment,Racing,Polyphony Digital
videogame/ps2.gamespy.com/gran-turismo-concept-2002-tokyo-geneva.html,Everyone,Sony Computer Entertainment,Sampler,Polyphony Digital
videogame/ps2.gamespy.com/grand-theft-auto-san-andreas.html,Mature,Rockstar Games,"Action, Adventure",Rockstar North
videogame/ps2.gamespy.com/grimgrimoire.html,Everyone 10+,NIS,Strategy,Vanillaware
videogame/ps2.gamespy.com/guilty-gear-x.html,Teen,Sammy Corporation,Fighting,ARC System Works
videogame/ps2.gamespy.com/guilty-gear-x2.html,Teen,Sammy Corporation,Fighting,ARC System Works
videogame/ps2.gamespy.com/harry-potter-and-the-goblet-of-fire.html,Everyone 10+,Electronic Arts,"Action, Adventure",EA UK
videogame/ps2.gamespy.com/haven-call-of-the-king.html,Teen,Midway Games,Platformer,Traveller's Tales
videogame/ps2.gamespy.com/hot-shots-tennis.html,Everyone,Sony Computer Entertainment,Sports,Clap Hanz
videogame/ps2.gamespy.com/hot-wheels-velocity-x.html,Everyone,THQ,Racing,Beyond Games
videogame/ps2.gamespy.com/iron-man-2008.html,Teen,SEGA,Action,A2M (Artificial Mind and Movement)
videogame/ps2.gamespy.com/james-bond-007-nightfire.html,Teen,Electronic Arts,Shooter,Eurocom
videogame/ps2.gamespy.com/karaoke-revolution-party.html,Everyone 10+,Konami,Music,Harmonix
